Altium Designer Pick and Place Locations
C:\Users\David\Documents\depthai-hardware\BK1096_OAK-1_Modular\PCB\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for BK1096(Production).csv

========================================================================================================================
File Design Information:

Date:       21/04/21
Time:       13:56
Revision:   42e4f7473363a6ae8f1bee0c666a1b3c13bf1e24
Variant:    Production
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"B1","3.0000mm","12.0000mm","270","BottomLayer","","DTSM32N","","Wurth 434 113 050 826","434 113 050 826"
"C1","29.2938mm","19.4008mm","180","BottomLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C2","29.2700mm","15.9889mm","360","BottomLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","Cap Ceramic 1uF 10V X5R 10% SMD 0402 85C Paper T/R","1uF, 0402, 10%"
"C3","21.2504mm","9.7249mm","270","BottomLayer","","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP, MLCC, X5R, 22UF, 10V, 0603","CAP, MLCC, X5R, 22UF, 10V, 0603"
"C4","22.8632mm","9.6905mm","270","BottomLayer","","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP, MLCC, X5R, 22UF, 10V, 0603","CAP, MLCC, X5R, 22UF, 10V, 0603"
"C5","26.0272mm","16.8377mm","180","TopLayer","GRM155R61E105KA12D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 1UF 25V X5R 0402 10%","1uF 0402"
"C6","32.6914mm","18.9758mm","360","BottomLayer","","0603","","SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C7","32.6914mm","13.1560mm","180","BottomLayer","","0603","","SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C8","32.6914mm","26.4808mm","360","BottomLayer","","0603","","SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C9","32.6914mm","20.8619mm","180","BottomLayer","","0603","","SMD Multilayer Ceramic Capacitor, 0603 [1608 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
