Altium Designer Pick and Place Locations
C:\Users\BrianLuxonis\Desktop\hardware\BG1094_R0M1E1\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for BG1094(Production).csv

========================================================================================================================
File Design Information:

Date:       04/12/19
Time:       12:28
Revision:   515
Variant:    Production
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"B1","30.0000mm","5.5000mm","90","TopLayer","","DTSM32N","","Tact Switch","DTSM32N"
"C1","54.1000mm","27.1000mm","270","TopLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C2","57.3000mm","27.1000mm","270","TopLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","Cap Ceramic 1uF 10V X5R 10% SMD 0402 85C Paper T/R","1uF, 0402, 10%"
"C3","14.6000mm","31.1000mm","270","TopLayer","","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP, MLCC, X5R, 22UF, 10V, 0603","CAP, MLCC, X5R, 22UF, 10V, 0603"
"C4","26.4000mm","7.3000mm","270","TopLayer","","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP, MLCC, X5R, 22UF, 10V, 0603","CAP, MLCC, X5R, 22UF, 10V, 0603"
"C5","35.8000mm","8.4000mm","270","TopLayer","GRM155R71A104KA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","0.1uF 10V X7R 10% Pad SMD 0402 125C T/R","0.1uF 10V"
"C73","41.1999mm","30.3499mm","180","BottomLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C74","50.3258mm","28.7582mm","270","BottomLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C76","46.4799mm","24.1275mm","270","BottomLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C207","48.6445mm","3.8541mm","90","BottomLayer","","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","SMD Multilayer Ceramic Capacitor, 0402 [1005 Metric], 10 µF, 6.3 V, ± 20%, X5R","10uF/6.3V"
"C208","47.9350mm","18.9743mm","270","BottomLayer","","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","SMD Multilayer Ceramic Capacitor, 0201 [0603 Metric], 0.1 µF, 6.3 V, ± 10%, X5R","100nF"
"C209","48.6552mm","18.9743mm","270","BottomLayer","","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","SMD Multilayer Ceramic Capacitor, 0201 [0603 Metric], 0.1 µF, 6.3 V, ± 10%, X5R","100nF"
"C211","51.3319mm","19.0026mm","270","BottomLayer","","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","SMD Multilayer Ceramic Capacitor, 0201 [0603 Metric], 0.1 µF, 6.3 V, ± 10%, X5R","100nF"
"C212","52.0319mm","19.0026mm","270","BottomLayer","","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","SMD Multilayer Ceramic Capacitor, 0201 [0603 Metric], 0.1 µF, 6.3 V, ± 10%, X5R","100nF"
"D1","38.5000mm","3.5000mm","90","TopLayer","SML-D12U8WT86","LED_0603","Body: 1.6 x 0.8mm, based on HSMx-C190 , C191, & C197 from Avago (Broadcom)","LED RED DIFFUSED 0603 SMD","RED"
"D2","42.0000mm","3.5000mm","90","TopLayer","SML-D12D8WT86","LED_0603","Body: 1.6 x 0.8mm, based on HSMx-C190 , C191, & C197 from Avago (Broadcom)","LED ORANGE DIFFUSED 0603 SMD","SML-D12D8WT86"
"J1","27.0000mm","28.0000mm","180","TopLayer","DF40HC(3.0)-100DS-0.4V(51","DF40HC-3.0-100DS-0.4V_minpad","3.0MM MATED HEIGHT CONN HDR 100POS 0.4MM SMD GOLD","CONN RCPT 100POS 0.4MM SMD GOLD","DF40HC(3.0)-100DS-0.4V_BW1099G2 Receptacle"
"J2","16.0000mm","8.0000mm","90","TopLayer","PJ-036AH-SMT-TR","CUI_PJ-036AH-SMT-TR","2.0 x 6.3 mm, 5.0 A, Horizontal, Surface Mount (SMT), Dc Power Jack Connector","2.0 x 6.3 mm, 5.0 A, Horizontal, Surface Mount (SMT), Dc Power Jack Connector","PJ-036AH-SMT-TR"
"J3","9.0000mm","28.0000mm","90","TopLayer","","con-20021121-00006C4LF","","","6 pin header"
"J4","-16.5127mm","-16.5000mm","90","TopLayer","M50-1900005","HDR_SHUNT_1.27MM","Shunt for 1.27mm headers","CONN SHUNT 1.27MM BLACK (M50-1900005)","1.27mm hdr shunt"
"J5","-16.5127mm","-16.5000mm","90","TopLayer","M50-1900005","HDR_SHUNT_1.27MM","Shunt for 1.27mm headers","CONN SHUNT 1.27MM BLACK (M50-1900005)","1.27mm hdr shunt"
"J6","3.3220mm","26.7507mm","90","BottomLayer","54550-2671","54550-2671","26pin Molex FFC 0.5mm TOP","CONN FFC TOP 26POS 0.50MM R/A","CONN FFC TOP 26POS 0.50MM R/A"
"J7","17.4500mm","28.0000mm","270","TopLayer","","*JST_B2B-PH-K-S(LF)(SN)","","CONN HEADER VERT 2POS 2MM","B2B-PH-K-S(LF)(SN)"
"J8","3.3000mm","41.0000mm","270","TopLayer","","545482071","20pin Molex FFC 0.5mm","FFC & FPC Connectors 0.5 FPC ZIF Hsg Assy ssy 20Ckt EmbsTp Pkg","54548-2071"
"J9","3.3000mm","15.0000mm","270","TopLayer","","545482071","20pin Molex FFC 0.5mm","FFC & FPC Connectors 0.5 FPC ZIF Hsg Assy ssy 20Ckt EmbsTp Pkg","54548-2071"
"J14","50.0000mm","4.8150mm","360","TopLayer","","Molex_105450-0101","","USB 3.1 Type C Receptacle SMD RA","105450-0101"
