Altium Designer Pick and Place Locations
E:\hardware\DM0255_R1M1E1\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for DM0255(Production).csv

========================================================================================================================
File Design Information:

Date:       23/08/21
Time:       16:31
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"C1","6.7500mm","8.3000mm","180","TopLayer","GRM155R60J475ME87D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 4.7UF 6.3V X5R 0402","4.7uF 0402"
"C2","3.2000mm","6.5000mm","270","TopLayer","TAJC107K010RNJ","AVX-TAJ-C-2_L","Molded Capacitor, 2-Leads, Body 6.2x3.4mm, IPC High Density","Tantalum Capacitor, Polarized, Tantalum (dry/solid), 10V, 10% +Tol, 10% -Tol, 100uF, Surface Mount, 2312","TAJC107K010RNJ"
"C3","-4.0000mm","9.5000mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","0.1uF 0402"
"C4","-6.6000mm","9.7698mm","0","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 10UF 10V X5R 0603 20%","10uF 0603"
"C5","-1.8500mm","9.5000mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","0.1uF 0402"
"C6","0.9000mm","10.8000mm","180","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 10UF 10V X5R 0603 20%","10uF 0603"
"C7","8.4000mm","-1.2000mm","0","TopLayer","GRM188R61A226ME15D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 22UF 10V X5R 0603 20%","22uF 0603"
"C8","8.8000mm","3.1000mm","180","TopLayer","GRM1555C1H3R3BA01D","CAPC0402(1005)60_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC High Density","Ceramic Capacitor, Multilayer, Ceramic, 50V, 3.03% +Tol, 3.03% -Tol, C0G, 30ppm/Cel TC, 0.0000033uF, Surface Mount, 0402","3.3pF 0402"
"C9","-1.8500mm","6.7000mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","0.1uF 0402"
"C10","-2.2000mm","5.2000mm","0","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 10UF 10V X5R 0603 20%","10uF 0603"
