Altium Designer Pick and Place Locations
E:\hardware\DM6010_R2M2E2\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for DM6010_R2M2E2(Production).csv

========================================================================================================================
File Design Information:

Date:       11/10/21
Time:       08:23
Revision:   Not in VersionControl
Variant:    Production
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"D1","0.0021mm","0.0251mm","270","TopLayer","CLM3C-RKW-CUBVAAA3","CLM3C-RKW-CUBVAAA3","","Single Color LED, Red","CLM3C-RKW-CUBVAAA3"
"J1","8.0005mm","0.0000mm","90","TopLayer","CX80B1-24P","CX80B1-24P","USB3.1 Type-C Molex SMT, Through Hole, Vertical","CONN RCPT USB3.1 TYPEC 24POS SMD Vertical","USB3.1 TYPEC 24P SMD Vertical"
"J2","-0.0053mm","0.0000mm","180","BottomLayer","USB4151-GF-C","GCT_USB4151-GF-C_REVA","","USB Connector, 24 Contact(s), Male, Straight, Surface Mount Terminal, Locking, Plug","USB4151-GF-C"
"J3","-7.9995mm","0.0000mm","90","TopLayer","CX80B1-24P","CX80B1-24P","USB3.1 Type-C Molex SMT, Through Hole, Vertical","CONN RCPT USB3.1 TYPEC 24POS SMD Vertical","USB3.1 TYPEC 24P SMD Vertical"
"Q1","-7.9000mm","1.2000mm","180","BottomLayer","IRLTS2242TRPBF","TSOP-6-MFG","","MOSFET P-CH 20V 6.9A 6TSOP","IRLTS2242TRPBF"
"Q2","-7.8500mm","-1.5500mm","180","BottomLayer","RE1C002UNTCL","RE1C002UNTCL","ROHM SOT-416FL","VISHAY - SI1062X-T1-GE3 - MOSFET Transistor, N Channel, 530 mA, 20 V, 0.35 ohm, 4.5 V, 1 V","RE1C002UNTCL"
"R1","-9.2519mm","-1.3039mm","90","BottomLayer","RC0402FR-075K11L","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 5.11K OHM 1% 1/16W 0402 5.11 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","5.11K 0402"
"R2","-5.6000mm","-1.3000mm","90","BottomLayer","RC0402FR-075K11L","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 5.11K OHM 1% 1/16W 0402 5.11 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","5.11K 0402"
"R3","-4.5000mm","2.4500mm","180","BottomLayer","RC0402FR-071KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 1K OHM 1% 1/16W 0402 1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","1K 0402"
"R4","-3.9233mm","2.4840mm","90","TopLayer","RC0402FR-071KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 1K OHM 1% 1/16W 0402 1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","1K 0402"
"R5","-6.4500mm","-1.3000mm","270","BottomLayer","RC0402FR-07100KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 100K OHM 1% 1/16W 0402","100K 0402"
"R6","-6.0146mm","-2.5196mm","180","BottomLayer","RC0402FR-07100KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 100K OHM 1% 1/16W 0402","100K 0402"
