Altium Designer Pick and Place Locations
C:\Users\bremz\AppData\Local\Temp\1loiszmc.1of\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for EL0258(PhotonIC_VGA_TOF_JH-2027-00).csv

========================================================================================================================
File Design Information:

Date:       20/06/24
Time:       17:00
Revision:   Not in VersionControl
Variant:    PhotonIC_VGA_TOF_JH-2027-00
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"C1","5.7150mm","3.4850mm","270","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C2","18.1864mm","22.5996mm","270","TopLayer","GRM155R60J106ME15D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
"C3","16.2306mm","18.4912mm","0","TopLayer","GRM155R60J106ME15D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
"C4","16.2448mm","17.4752mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C5","20.6502mm","13.6280mm","270","BottomLayer","GRM155R60J106ME15D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
"C6","18.3140mm","12.8270mm","0","BottomLayer","GRM155R60J106ME15D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
"C7","22.0980mm","14.2240mm","180","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C8","22.0980mm","13.2080mm","180","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C9","23.6270mm","7.1120mm","180","TopLayer","GRM155R60J106ME15D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
"C10","23.6270mm","6.2230mm","180","TopLayer","GRM155R60J106ME15D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
