Altium Designer Pick and Place Locations
E:\A365\EL6905\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for EL6905(Production_MX).csv

========================================================================================================================
File Design Information:

Date:       04/07/23
Time:       12:21
Revision:   db12cfad091e66d569c65245ff6958531c9eff9d
Variant:    Production_MX
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"C1","12.0650mm","-0.3810mm","90","TopLayer","GRM188R61A226ME15D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 22UF 10V X5R 0603 20%","GRM188R61A226ME15D"
"C2","13.5890mm","-0.3810mm","90","TopLayer","GRM188R61A226ME15D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 22UF 10V X5R 0603 20%","GRM188R61A226ME15D"
"C3","49.5300mm","26.1620mm","90","TopLayer","CL05B104KO5NFNC","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 0.1UF 16V X7R 0402 10%","CL05B104KO5NFNC"
"C4","46.2280mm","26.1620mm","270","TopLayer","CL05B104KO5NFNC","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 0.1UF 16V X7R 0402 10%","CL05B104KO5NFNC"
"C50","9.9060mm","3.9370mm","270","TopLayer","CL21B104KCFNNNE","CAPC0805(2012)145_N","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC Medium Density","CAP CER 0.1UF 100V X7R 0805 10%","CL21B104KCFNNNE"
"C51","16.6370mm","10.9220mm","0","TopLayer","C0805C223M1RACAUTO","CAPC0805(2012)145_L","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC High Density","CAP CER 22nF 100V X7R 0805 20%","C0805C223M1RACAUTO"
"C52","16.6370mm","7.8740mm","0","TopLayer","C0805C223M1RACAUTO","CAPC0805(2012)145_L","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC High Density","CAP CER 22nF 100V X7R 0805 20%","C0805C223M1RACAUTO"
"C53","16.6370mm","4.8399mm","0","TopLayer","C0805C223M1RACAUTO","CAPC0805(2012)145_L","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC High Density","CAP CER 22nF 100V X7R 0805 20%","C0805C223M1RACAUTO"
"C54","16.6370mm","1.7780mm","0","TopLayer","C0805C223M1RACAUTO","CAPC0805(2012)145_L","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC High Density","CAP CER 22nF 100V X7R 0805 20%","C0805C223M1RACAUTO"
"C55","13.6810mm","14.8336mm","0","TopLayer","C1206C102KGRACTU","CAPC1206(3216)130_L","Chip Capacitor, Body 3.2x1.6mm, Height 1.3mm, IPC High Density","CAP CER 1nF 2000V X7R 1206 10%","C1206C102KGRACTU"
"C84","13.3658mm","22.8560mm","90","BottomLayer","C1206C102KGRACTU","CAPC1206(3216)190_N","Chip Capacitor, Body 3.2x1.6mm, Height 1.9mm, IPC Medium Density","CAP CER 1000PF 2KV X7R 1206","1nF 1206"
"C85","21.8637mm","20.0620mm","180","BottomLayer","CL21B104KCFNNNE","CAPC0805(2012)145_N","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC Medium Density","CAP CER 0.1UF 100V X7R 0805","0.1UF 0805"
"C86","24.2410mm","27.0470mm","90","TopLayer","EEU-FC2A120","EEU-FC2A120","Body diameter: 6.3mm, lead pitch: 2.5mm","CAP ALUM 12UF 20% 100V RADIAL","12uF 6.3mm"
"C87","23.9870mm","21.9670mm","180","TopLayer","CL32B105KCJNNNE","CAPC1210(3225)280_N","Chip Capacitor, Body 3.2x2.5mm, Height 2.8mm, IPC Medium Density","CAP CER 1UF 100V X7R 1210","1uF 1210"
"C88","23.9870mm","18.6650mm","180","TopLayer","CL32B105KCJNNNE","CAPC1210(3225)280_N","Chip Capacitor, Body 3.2x2.5mm, Height 2.8mm, IPC Medium Density","CAP CER 1UF 100V X7R 1210","1uF 1210"
"C89","0.6350mm","25.0190mm","0","BottomLayer","GRM1885C1H102FA01D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 1000PF 50V C0G/NP0 0603","1nF 0603 C0G"
"C90","4.9094mm","3.9188mm","225","TopLayer","ECA-0JM102","ECA-0JM102","Body diameter: 8mm, lead pitch: 3.5mm","CAP ALUM 1000UF 6.3V RADIAL 20%","ECA-0JM102"
"C91","9.9060mm","12.0050mm","90","TopLayer","CL31A107MQHNNNE","CAPC1206(3216)190_N","Chip Capacitor, Body 3.2x1.6mm, Height 1.9mm, IPC Medium Density","CAP CER 100UF 6.3V X5R 1206","100uF 1206"
"C92","4.5212mm","10.6172mm","180","TopLayer","C0603C223K5RACTU","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 0.022UF 50V X7R 0603","22NF 0603"
"C93","29.0830mm","24.0221mm","0","TopLayer","GRM155R61E105KA12D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 1UF 25V X5R 0402 10%","1uF 0402"
"C94","37.2417mm","28.5710mm","90","TopLayer","CL21B104KCFNNNE","CAPC0805(2012)145_N","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC Medium Density","CAP CER 0.1UF 100V X7R 0805","0.1UF 0805"
"C95","30.8917mm","28.8250mm","90","TopLayer","CL21B104KCFNNNE","CAPC0805(2012)145_N","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC Medium Density","CAP CER 0.1UF 100V X7R 0805","0.1UF 0805"
"C96","34.5280mm","17.1410mm","0","TopLayer","CL05B104KO5NFNC","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 0.1UF 16V X7R 0402","0.1uF 0402"
"C97","13.2660mm","19.6850mm","180","BottomLayer","GRM155R71H103KA88D","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 10000PF 50V X7R 0402","10nF 0402"
"C98","5.5880mm","26.7970mm","0","BottomLayer","GRM1885C1H222JA01D","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 2200PF 50V C0G 0603 5%","GRM1885C1H222JA01D"
"C99","14.9460mm","30.2220mm","180","BottomLayer","C1206C102KGRACTU","CAPC1206(3216)190_N","Chip Capacitor, Body 3.2x1.6mm, Height 1.9mm, IPC Medium Density","CAP CER 1000PF 2KV X7R 1206","1nF 1206"
"C119","52.3660mm","-1.2700mm","180","BottomLayer","GRM155R61E105KA12D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 1UF 25V X5R 0402 10%","GRM155R61E105KA12D"
"C120","48.5810mm","3.2980mm","180","BottomLayer","C1210C107M8PACTU","FP-C1210C107M8PACTU-MFG","","CAP CER 100UF 10V X5R 1210 20%","C1210C107M8PACTU"
"C121","52.3080mm","4.1870mm","180","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","0.1uF 0402"
"C125","37.0680mm","9.9020mm","270","TopLayer","CL05B104KO5NFNC","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 0.1UF 16V X7R 0402 10%","CL05B104KO5NFNC"
"D1","54.2290mm","13.7160mm","180","BottomLayer","PESD5V0L4UG,115","PESD3V3L4UG,115","5-TSSOP, SC-88, SOT-363","TVS DIODE 5V 12V 5TSSOP","PESD5V0L4UG,115"
"D5","30.7647mm","21.9670mm","180","BottomLayer","CD-HD01","CD-H01","2 mm SMD Trimming Potentiometer  Specifications are subject to change without notice.  Users should verify actual device performance in their specific applications.  The products described herein and this document are subject to specific legal disclaimers as set forth on the last page of this document, and at www.bourns.com/docs/legal/disclaimer.pdf.  CD-HD0x Series Surface Mount Schottky Bridge Rectifier Diode","CD-HD0x Series Schottky Bridge Rectifier Diode 100V 4-Pin Surface Mount T/R","CD-HD01"
"D6","35.8447mm","21.9670mm","180","BottomLayer","CD-HD01","CD-H01","2 mm SMD Trimming Potentiometer  Specifications are subject to change without notice.  Users should verify actual device performance in their specific applications.  The products described herein and this document are subject to specific legal disclaimers as set forth on the last page of this document, and at www.bourns.com/docs/legal/disclaimer.pdf.  CD-HD0x Series Surface Mount Schottky Bridge Rectifier Diode","CD-HD0x Series Schottky Bridge Rectifier Diode 100V 4-Pin Surface Mount T/R","CD-HD01"
"D9","8.7630mm","21.6930mm","90","BottomLayer","PDS1040-13","PDS1040-13","Powerdi5 Diodes","DIODE SCHOTTKY 40V 10A POWERDI5","PDS1040"
"D10","26.4467mm","20.9510mm","90","BottomLayer","RS1B","RS1B","Molded Diode, 2-Leads, Body 4.30x2.59mm, IPC Medium Density","DIODE GEN PURP 100V 1A SMA","RS1B"
"D11","21.1127mm","23.7450mm","90","BottomLayer","1N4148W-7-F","1N4148W-7-F","SOD123, 2-Leads, Body 2.7x1.55mm, Height 1.45mm","DIODE GEN PURP 100V 300MA SOD123","1N4148W"
"D15","44.3140mm","4.5720mm","270","BottomLayer","TPD4EUSB30DQAR","TPD4EUSB30DQAR","TPD4EUSB30DQAR","TVS DIODE 5.5V 8V 10SON 8V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount 10-USON (2.5x1)","TPD4EUSB30DQAR"
"D20","39.4970mm","11.7856mm","270","BottomLayer","SD05-01FTG","SD05-01FTG-Footprint-1","","Trans Voltage Suppressor Diode, 450W, 5V V(RWM), Unidirectional, 1 Element","SD05-01FTG"
"FB9","34.0667mm","29.7140mm","180","TopLayer","742792040","742792040","Chip Inductor, 2-Leads, Body 2.0x1.2mm","FERRITE BEAD 600 OHM 0805 1LN","700R/150Mhz"
"FB10","34.0667mm","27.5550mm","180","TopLayer","742792040","742792040","Chip Inductor, 2-Leads, Body 2.0x1.2mm","FERRITE BEAD 600 OHM 0805 1LN","700R/150Mhz"
"FID1","53.0860mm","28.8290mm","90","BottomLayer","","FIDUCIAL_ROUND_1MM","Round, 1mm dia","Fiducial with various available footprints","FIDUCIAL_ROUND_1MM"
