Altium Designer Pick and Place Locations
C:\Users\marti\AppData\Local\TempReleases\Snapshot\4\Assembly IMX462\Pick Place\Pick Place for MD2084(IMX462).csv

========================================================================================================================
File Design Information:

Date:       08/11/23
Time:       15:27
Revision:   Not in VersionControl
Variant:    IMX462
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R90","0","BottomLayer","RESC0402(1005)_L","36.9062mm","9.4488mm","90","RES SMD 0 OHM 5% 1/16W 0402"
"U9","TXS0102DQMR","TopLayer","DQM","14.3000mm","10.8000mm","270","IC TRANSLATOR VOLTAGE 8-X2SON"
"R50","RC0402FR-1310KL","TopLayer","RESC0402(1005)_L","13.1000mm","8.5000mm","270","RES SMD 10K OHM 1% 1/16W 0402"
"C51","GRM155R61E105KA12D","TopLayer","CAPC0402(1005)70_L","12.7218mm","10.9000mm","270","CAP CER 1UF 25V X5R 0402 10%"
"C50","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","16.3000mm","10.3500mm","0","CAP CER 0.1UF 16V X7R 0402 10%"
"C45","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","16.3000mm","11.3000mm","180","CAP CER 0.1UF 16V X7R 0402 10%"
"U5","BMI270","TopLayer","XDCR_BMI270","11.7000mm","28.3000mm","270","Accelerometer, Gyroscope, 6 Axis Sensor IÂ²C, SPI Output"
"FB6","2508056017Y2","BottomLayer","2508056017Y2","34.6000mm","5.9000mm","0","FERRITE BEAD, 0.1OHM, 2A, 0805, 600R/100MHz"
"Y1","ABS06-127-32.768KHZ-T","TopLayer","ABS06-127-32.768KHZ-T","17.2000mm","26.8000mm","180","CRYSTAL 32.768kHz ±20ppm Crystal 12.5pF 90 kOhms 2-SMD, No Lead"
"U4","BNO086","TopLayer","BNO086","16.3500mm","30.8625mm","270","Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I²C, SPI, UART Output"
"TP10","TEST_POINT","TopLayer","TP075_150_NS","10.7000mm","33.8000mm","0",""
"TP1","TEST_POINT","TopLayer","TP075_150_NS","21.7000mm","33.5000mm","0",""
"TP4","TEST_POINT","TopLayer","TP075_150_NS","12.4000mm","33.9000mm","0",""
"R47","RC0402FR-072K2L","TopLayer","RESC0402(1005)_L","12.1000mm","32.4000mm","0","RES SMD 2.2K OHM 1% 1/16W 0402"
"R27","RC0402FR-1310KL","TopLayer","RESC0402(1005)_L","12.0995mm","30.7895mm","180","RES SMD 10K OHM 1% 1/16W 0402"
"R4","RC0402FR-1310KL","TopLayer","RESC0402(1005)_L","20.0000mm","32.5000mm","90","RES SMD 10K OHM 1% 1/16W 0402"
"R48","RC0402FR-072K2L","TopLayer","RESC0402(1005)_L","12.0995mm","31.5932mm","0","RES SMD 2.2K OHM 1% 1/16W 0402"
"C3","GRM155R60J106ME15D","TopLayer","CAPC0402(1005)70_L","21.0000mm","30.8625mm","270","CAP CER 10UF 6.3V X5R 0402 20%"
"C30","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","17.1000mm","33.8000mm","180","CAP CER 0.1UF 16V X7R 0402 10%"
"C31","GRM0335C1E180FA01D","TopLayer","CAPC0201(0603)33_L","16.6000mm","28.1000mm","180","CAP CER 18PF 25V C0G 0201 10%"
"C33","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","9.8000mm","27.2000mm","270","CAP CER 0.1UF 16V X7R 0402 10%"
"C24","GRM155R60J106ME15D","TopLayer","CAPC0402(1005)70_L","19.8000mm","29.0000mm","270","CAP CER 10UF 6.3V X5R 0402 20%"
"C32","GRM0335C1E180FA01D","TopLayer","CAPC0201(0603)33_L","17.7985mm","28.1051mm","0","CAP CER 18PF 25V C0G 0201 10%"
"C26","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","20.6000mm","29.0000mm","270","CAP CER 0.1UF 16V X7R 0402 10%"
"C44","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","9.8000mm","28.8000mm","90","CAP CER 0.1UF 16V X7R 0402 10%"
"C4","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","20.2000mm","30.8625mm","270","CAP CER 0.1UF 16V X7R 0402 10%"
"MH1","9774030243R","TopLayer","9774030243R","24.8860mm","31.6990mm","180","MP ROUND STANDOFF M2X0.4 STEEL 3MM"
"R85","0","TopLayer","RESC0402(1005)_L","38.9038mm","28.8624mm","180","RES SMD 0 OHM 5% 1/16W 0402"
"R84","CRCW04020000Z0ED","TopLayer","RESC0402(1005)_L","28.1000mm","12.0000mm","0","RES SMD 0 OHM 5% 1/16W 0402"
"J9","SMS-107-01-G-S","TopLayer","SMS-107-01-G-S","27.9860mm","9.2660mm","0","Board Connector, 7 Contact(s), 1 Row(s), Female, Straight, 0.05 inch Pitch, Solder Terminal, Black Insulator, Socket"
"R6","CRCW0402470RFKED","TopLayer","RESC0402(1005)_L","22.7330mm","1.8000mm","270","RES SMD 470 OHM 1% 1/16W 0402"
"J4","DF40HC(3.0)-100DS-0.4V_SoM-PRO_B","BottomLayer","CON_B_BW2099_SoM_DF40HC-3.0-100DS-0.4V_minpad","9.9732mm","17.2458mm","180","OAK-SoM-Pro_S2/S3 base board conn. B"
"J6","SFV10R-2STE1HLF","BottomLayer","SFV10R-2STE1HLF","14.9839mm","29.7045mm","0","CONN FFC TOP 10POS 0.50MM R/A"
"TP6","TEST_POINT","TopLayer","TP075_150_NS","30.8000mm","0.1000mm","90",""
"U7","TXS0102DCUR","BottomLayer","TXS0102DCUR","15.5000mm","17.1000mm","90","TEXAS INSTRUMENTS - TXS0102DCUR - IC, TRANSLATOR, 2 BIT, BI, US-8"
"R80","CRCW0402470RFKED","TopLayer","RESC0402(1005)_L","5.2152mm","30.8205mm","90","RES SMD 470 OHM 1% 1/16W 0402"
"Q3","DDTC114YCA-7-F","TopLayer","DDTC114YCA-7-F-Footprint-1","14.2730mm","19.9000mm","90","TRANS PREBIAS NPN 200MW SOT23-3"
"L1","BRL3225T2R2M","TopLayer","LQH32NH2R2J23L","18.5359mm","15.9316mm","180","Inductor Power Chip Wirewound 2.2uH 20% 100KHz Ferrite 1.6A 0.078Ohm DCR 1210 T/R"
